rest_id,rest_name
19233429,Nanav Store & Cafe
18671170,Eddy's Cafe
18712549,Little White Kitchen
19300785,SG Foods
19554105,Cafe Plume
19557716,Acha's Food
19763681,Begum's Authentic Hyderabadi Kitchen
19710983,Heights & Bites By Jula
19900760,Sri Vinayaka Tiffin Center
19909852,Bheemavarma's Biryani
19897861,Chai Corner
19897926,Hot N Cool
19850681,Cocoberry
19842544,Bonomi
19857173,Mother's Special
19952254,Flo
19967027,Vamsi Tiffin Centre
19927113,Priyanshi Bakery
18494080,Biriyani Zone
50398,Domino's Pizza
19337846,Leon's Burgers & Wings
18929957,Potful - Claypot Biryanis
18746245,Burger King
18656568,Shanmukha
20075707,Hotel Abooz- Eat 'N' Meet Restaurant
18492910,Red Rhino
53480,Pizza Hut
19920620,Sri Udupi Food Hub
53481,KFC
18900895,Empire Restaurant
19544822,Meghana Foods
18509767,Mani's Dum Biryani
19494950,T’s 21 Spice Biryani
18260044,Kritunga Restaurant
19775486,Sri Udupi Park
50129,Beijing Bites
56947,Moriz Restaurant
20058962,Orbis Restaurant
18379633,Paradise Biryani
18304752,McDonald's
19241738,Cakes Wagon
19335369,The Bake Feast
18790994,Imperio Restaurant
51189,M.M.A Kabab and Rolls
57717,U.P. Dhaba
20340582,Onesta
18699836,MOJO Pizza - 2X Toppings
19490766,CakeZone
18904617,Sri Alok Park
18654608,WarmOven Cake & Desserts
19247908,Madurai Idly Shop
19179497,The Punjabi Rasoi
19251915,Hyderabadi Handi Biryani
18664290,Sri Lakshmi Vaibhav
20130295,Akshatha Nati Style
18513659,Dil Se Dilli
18657670,New Udupi Delicacy
57976,A2B - Adyar Ananda Bhavan
18346328,Kanti Sweets
19704211,Andhra Gunpowder
18698904,BOX8 - Desi Meals
59795,FreshMenu
19704206,Biryani Trip - Destination Hyderabad
57174,Chakh Le India
19505013,Pepe's Pizza
18160098,Kidilum
19362180,Dhaba Square
19512161,Kidilum Grand
20392581,Grill Factory
19783811,Nandhana Palace
18797647,Al-Bek
19465500,Five Star Chicken
19566968,Thalassery Restaurant
18572928,Imperial Restaurant
19237561,Polar Bear
20421418,Corner House Ice Creams
19929595,Chickpet Donne Biriyani House
18604165,Behrouz Biryani
18600290,Ovenstory Pizza
20052686,Sharief Bhai
54980,Subway
18604161,Faasos - Wraps & Rolls
20394929,Taco Bell
19624801,Chicking
20346311,EatFit
19392139,Dindigul Thalappakatti
56847,California Burrito
19351870,WOW! Momo
58271,Kapoor's Cafe
19481872,Natural Ice Cream
18871143,Lassi Shop
19527248,New Naidu Hotel
19938537,Asha Tiffins
19864124,Biryani By Kilo
19224236,Anand Sweets and Savouries
58563,Goli Vada Pav No. 1
18543624,Nagarjuna
19668858,Kwality Wall’s Frozen Dessert and Ice Cream Shop
19608758,EasyBites by Empire
20383324,Truffles
19733262,Pizza@99
19746997,Wendy's
19261181,Sardarji Londonwaley
19715811,Chinese Wok
18775007,"Frozen Bottle - Milkshakes, Desserts and Ice Cream"
19586262,Amma's Pastries
59477,Ashraya Upachar
20397688,Narmada Chain of Restaurants
59904,Meat and Eat
18886410,Bakingo
59495,Rolls On Wheels
19511777,The Pizza Bakery - All Day Eatery
19704208,Paratha Envy
20293446,Call Me Chow
53586,Barbeque Nation
19571576,Chowman
57829,Chulha Chauki Da Dhaba
20450690,The Belgian Waffle Co.
19998095,Baskin Robbins
20346316,Great Indian Khichdi by EatFit
18759670,Anjappar
18472157,Glen's Bakehouse
19715804,Big Bowl Company
19135392,New Udupi Garden
19411999,LunchBox - Meals and Thalis
19929867,Biryani Blues
20038412,Ghee And Turmeric
18597851,Biryani Paradise
19823350,ZAZA 22 Spice Awadhi Biryani
19810662,NH1 Bowls - Highway To North
19820478,WOW! China
19268640,The Biryani Life
19477444,Samosa Party
18545990,Andhra Biryanis
18856895,UBQ By Barbeque Nation
19878861,Smoor
20005274,The Dessert Heaven - Pure Veg
19129429,Shanghai Court
19263420,Kaati Zone Rolls and Wraps
19541573,Zomoz - The Momo Company
18922704,Chai Point
19900963,Ludos Pizza
19053010,Dande's Hyderabad Biryani
19508973,Nadan Pothichoru
18942998,The Good Bowl
19741776,Udupi Gokula Veg
20346211,Adiga's
19269238,Mangalore Kitchen
19002835,Momoz
19528034,The Parotta Combo
19329676,Mealful Rolls - India's Biggest Rolls
20298305,Biggies Burger
19929241,Chaat Street
19528197,Imperio Combo King
19480713,Keventers - Milkshakes & Desserts
19034546,Mad Over Donuts
19704494,ITC Master Chef Creations
19457981,Chinese BAE
19947225,Chung Wah's
19689140,Laddoos
18959429,Basmati Biriyani Nation
19239387,Chaayos Chai+Snacks=Relax
19726534,Cream Stone Ice Cream
18734523,Cupcake Bliss Cakes & Desserts
20304947,Yumlane Pizza
19290082,Starbucks Coffee
19511427,Punjabi Unplugged
19541949,LeanCrust Pizza- ThinCrust Experts
19657422,Krispy Kreme
20016483,Momo Zone - The Momo Company
19503427,Lemon Leaf
53122,Rajdhani
18604173,Sweet Truth - Cake and Desserts
19713884,Ibaco
20124698,Auntie Fung's
18387409,Dilli Darbar
18414367,NH8
19480555,Itminaan Matka Biryani - Slow Cooked
19840468,Pure Veg Meals By LunchBox
19647510,GOPIZZA
19053271,Pasta Street
18762770,Daily Sushi
18652050,Hotel New Al Siddique
19711051,The Filter Coffee
18659349,Erivum Puliyum
19808207,The Dessert Zone
19304881,Hyderabadi Kitchen
18561398,AB's - Absolute Barbecues
18165793,Khan Saheb Grills And Rolls
20221274,Toscano
19727246,Just Bake
18494127,Angaar Biryani
19548833,Ghee Tadka Khichdi
55226,Kabab Mandra
19165222,Apsara Ice Creams
20207332,Dil Punjabi
19480930,Tharavadu Malabar Biryani
20250181,Punjab On Cloud
19476963,Aubree
18554890,NISO Chinese Restaurant
19118053,XO Belgian Waffle
53784,Mainland China
20245680,B2H - Biryani 2 Home
18954032,Punjab Beat
20337539,Sangam Sweets
19965309,Paris Panini - Gourmet Sandwiches
18807467,Sri Sai Palace
19649317,Brik Oven
19240774,Chaatimes
19960779,Sendhoor Coffee
19608765,Empire Juices and Desserts
19356517,Udupi Aatithya
19933904,Pinds Of Punjab
19065215,Ice Corner
18741889,Mayuri Multicuisine Family Restaurant
19851481,The Thickshake factory
19715803,The Momo Co.
19748520,NOTO - Healthy Ice Cream
18687300,Kerala Tiffin
19456584,Chopstick
19295859,New Udupi Veg
19071234,Kapital Kitchen
56274,Cafe Coffee Day
19340733,Basmati Express
19191089,Sri Udupi Sannidhi
19574658,Kerala Kitchen
20281599,Arabian Shawarma
19704212,Momo Monk
20419096,Belgian Waffle Factory
18734715,Indiana Burgers
20366339,Crusto’s - Cheese Burst Pizza
19528043,Schezwan Hub
19468765,Bhojanam
18895309,Estaa Sweets
18892372,Third Wave Coffee
19541156,IFC - Imperio Fried Chicken
19782189,TrueCakes
20114916,Kolkata famous Kati roll
20346321,Home Plate by EatFit
19360385,Lassi Corner
19711702,Oh! Calcutta
19893022,Singh Da Punjabi Dhaba
19958552,Udupi Garden
19689175,Subbayyaa Gari Hotel
18772498,HOMMS
19251770,Khanna's
56638,Rolls Plaza
19168640,Puchkas
20391386,Haka
18604171,Firangi Bake
19704209,Snack House
19525760,The Ganache Factory
19535475,Biryani Mount
20086806,Kulfi Shulfi- Kulfis and Ice Cream
18789672,Krutunga Restaurant
18290061,Bangalore Mandarin
20363255,Bangaliana
19243983,SLAY Coffee
60730,Hotel Manu
19782364,Burger Seigneur
51489,Chef Bakers
20378254,Dum Safar Biryani
19327197,Kallayi Restaurant
19829477,Punjabites By Empire
19045220,Haveli Hyderabadi Dum Biryani
19454753,Khawar Ashe Pashe
19056868,SGS Non Veg Gundu Palav
19433500,Kalinga Spices
20149379,Rusbury Fresh Sweets And Savouries
20268651,Natraj Chole Bhature
19076011,Udupi Upachar
18801352,Punjab Grill
19996740,FB Café By Frozen Bottle
17978347,Lulu's Family Restaurant
19965727,The Tandoori Tales
20384327,Bowl 99
19378866,Imperio Juice & Cafe
18720710,Namma Madurai
19578536,Swiss Cream
19461401,Alpha Biryani
18412142,New Udupi Upahar
18448379,New Udupi Upahar
20062885,Awadhi Delights
19953238,Punjabi Chaap Corner
19329079,Laziz Pizza
19364649,Hungry Chang
20346631,Olio - The Wood Fired Pizzeria
19715792,Rolls & Bowls Company
19631088,Kapoor's Chaat Bhandaar
20240924,Louis Burger
61025,New Paratha Corner
19708257,Lakeview Milkbar
19391444,Asia Kitchen By Mainland China
19914140,Kekou
20261052,Gopaljee Cafe
20174101,Mallu House
20012753,Keventers Ice Cream
19591776,Boss Burger
20160866,Chickpet Donne Biriyani Mane
18221549,Whitefield Social
19024171,Salt - Indian Restaurant Bar & Grill
19704217,BigBites
18696235,Oziano
55377,East Delicious
19522348,@Adukkala
18515060,Brindavan Grand
20404414,Giani Ice Creams
18802460,You Mee
19808138,Burger It Up
51785,Mayura Sagar
20301479,Petuk
19402942,Lo! - Low Carb And Keto Foods
19742614,Kouzina Kafe - The Food Court
19503647,Nizam's Kitchens
19598731,Karnataka Donne Biryani
18612909,Dhaba - Estd 1986 Delhi
20006903,Mega Biryani
19745969,GLOBO Ice Creams Of The World
18388641,The Lassi Corner
20168739,Panchayat
18366593,Dhaba Social
20368539,Little Italy
19618787,Nasi And Mee
18733579,Brilram's Balaji Bhavan
18911082,Rajwadi
19906860,Mr Chow
19606967,Hao Chi
19531306,Srinidhi Signature
19632119,Zwarma
19517562,Samosa Singh
55406,Suryawanshi
19837805,Mayura Bakery & Sweets
19704511,ITC Sunfeast Baked Creations
19507086,Urbanmirchy
19658854,Santushti
20346223,Homese Just Veg
19571330,Taiki
19528421,The Brooklyn Creamery - Healthy Ice Cream
20012957,New Guru Nalapaka
