name,locality,lat,long,review
Shiv Sagar,"22, Marathi Seva Nagar, Banaswadi Main Road, Banaswadi, Bangalore",13.0021429371,77.6331432536,5
Magnolia Bakery,"Survey 40 And 41, Phoenix Marketcity, Mahadeva Pura, Devasandra Industrial Estate, Krishnarajapura, KR Puram, Bangalore",12.9979006317,77.6965657622,1674
Empire Juices and Desserts,"35, Castle Street, Brigade Road, Bangalore",12.9671736067,77.6089550927,781
Bangarpet Chats,"Vijinapura, Dooravani Nagar, Main Road, Opposite FCI Godown, Old Madras Road, Bangalore",13.0025920000,77.6676600000,1
The Thick Shake Factory,"15, St. John's Church Road, Cleveland Town, Bharatinagar, Frazer Town, Bangalore",12.9914726500,77.6115675700,7
Motis Kitchen,"3, 9th Main, Seethappa, Thippasandra, Bangalore",12.9725442737,77.6533724740,499
Sri Srinivas Pork Hotel,"147, Ejipura Road, Near Green Vine Hospital, Ejipura, Bangalore",12.9486769506,77.6274512708,41
NOTO - Healthy Ice Cream,"44/1, Ferdous Complex, Art Of Delight, Brigade Road, Bangalore",12.9730934402,77.6091707847,16
Tomba Kitchens,"28/1, 29/2, Vivek Nagar, Main Road, Ejipura, Bangalore",12.9503685320,77.6252263784,79
Cafe Coffee Day,"G02A, Ground Floor Garuda Mall Brigade Road, Bangalore",12.9705200000,77.6099600000,27
Momo Monk,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, New Thippsandra, Bangalore, Jeevan Bhima Nagar, Bangalore",12.9681870000,77.6507770000,723
Rahhams,"82, M M Road, Frazer Town, Bangalore",13.0009093895,77.6131369919,1032
Le Arabia,"60, 60 Feet Road, Koramangala 5th Block, Bangalore",12.9335450000,77.6227283000,72
Bombay Kulfi,"81/B, 17th E Main, Koramangala 6th Block, Bangalore",12.9371642862,77.6247167587,0
Indiana Burgers,"2/4, Khatha 94, 1st Floor, Taluk Ward 83, Main Road, K R Puram, Hobli, Kaggadasapura, Bangalore",12.9839318080,77.6785765216,2161
Crusto’s - Cheese Burst Pizza,"First Floor, 897/E, 80 Feet Road, Koramangala 6th Block, Bangalore",12.9404117818,77.6251965854,18
Chichaba's Taj,"50, MM Road, Frazer Town, Bangalore",13.0003569700,77.6173373312,553
Goila Butter Chicken,"504, First Floor, Sixth Cross, Club Road, Koramangala 6th Block, Bangalore",12.9372747329,77.6244300976,123
Sukh Sagar,"62, 17th Main, 1st Cross, 100 Feet Road, Koramangala 5th Block, Bangalore",12.9333306435,77.6231560484,520
Chaitra Restaurant,"6, 80 Feet Road, Subbayyana Palya, Kalyan Nagar, Bangalore",13.0130949757,77.6424478367,64
Sichuan,"M 22, LIC Colony, 10th Main, Jeevan Bhima Nagar, Bangalore",12.9679992940,77.6531044182,1208
Third Wave Coffee,"Shop 52/2, Sujaya Pride Building, Ashok Nagar, Church Street, Bangalore",12.9745178000,77.6068982000,399
Tharavadu,"143, KHB Colony, Koramangala 5th Block, Bangalore",12.9371584044,77.6196383312,5
Shanthi Sagar,"9/1, Tank Road, Ulsoor, Bangalore",12.9871785727,77.6189074293,211
Juice Junction,"22, Opposite State Bank Of India, St. Marks Road, Bangalore",12.9721018956,77.6012196019,124
TrueCakes,"2392/3, Kacharakanahalli, Main Road Circle, St. Thomas Post, Kammanahalli, Bangalore",13.0144140486,77.6356192678,154
Kolkata Famous Kati Roll,"1&2, Impan Complex, Basavanagar Main Road, Sherwood, Kaggadasapura, Bangalore",12.9692650000,77.6825825000,11
Home Plate by EatFit,"327, Ground Floor, 4th Cross, OMBR Layout, Basavanagudi, Banaswadi, Bangalore",13.0083050000,77.6518480000,90
Lassi Corner,"Shop 103, 1st Floor, Venkataswamy Layout, Koramangala 8th Block, Bangalore",12.9444575864,77.6173530892,1
Oh! Calcutta,"14, 1st Floor, Church Street, Bangalore",12.9752164951,77.6039001346,1681
Richie Rich,"4, SNS Plaza, Kumara Krupa Road, Race Course Road, Bangalore",12.9868342308,77.5800090283,756
Calcutta Victoria Chat House,"2 M, 148, Ground Floor, 2nd Main Road, East Of NGF, Kasturinagar, Banaswadi, Bangalore",13.0012834400,77.6616953686,173
Mother's Meal,"Chowdeswari Temple Street, Byrasandra, CV Raman Nagar, Bangalore",12.9814978501,77.6668676734,162
Big Bang Pizza,"60/1-A, Ground Floor, Coles Road, Frazer Town, Bangalore",12.9948082048,77.6150259376,92
