rest_id,restaurant,link,cusine,rating,price
72,Narmada Chain of Restaurants,https://www.zomato.com/bangalore/narmada-chain-of-restaurants-frazer-town-bangalore/order,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages",New,₹250 for one
73,Savoury Restaurant,https://www.zomato.com/bangalore/savoury-restaurant-kaggadasapura-bangalore/order,"Arabian, Mughlai, North Indian, Chinese, Fast Food, Beverages, Shake, Desserts",4.0,₹250 for one
74,Royal Restaurant,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order,"North Indian, Chinese, Sichuan",3.9,₹250 for one
75,Bakingo,https://www.zomato.com/bangalore/bakingo-koramangala-1st-block/order,"Bakery, Desserts",4.3,₹250 for one
76,Vijayalakshmi Veg,https://www.zomato.com/bangalore/vijayalakshmi-veg-frazer-town-bangalore/order,"South Indian, Chinese, North Indian, Sichuan",4.0,₹250 for one
77,Rolls On Wheels,https://www.zomato.com/bangalore/rolls-on-wheels-indiranagar/order,"North Indian, Rolls, Fast Food",4.0,₹250 for one
78,The Pizza Bakery - Brew & Eatery,https://www.zomato.com/bangalore/the-pizza-bakery-brew-eatery-church-street-bangalore/order,"Pizza, Pasta, Italian, Desserts, Continental, Beverages",4.1,₹250 for one
79,Paratha Envy,https://www.zomato.com/bangalore/paratha-envy-thippasandra-bangalore/order,North Indian,4.2,₹250 for one
80,Moriz Nano Restaurant,https://www.zomato.com/bangalore/moriz-nano-restaurant-ulsoor/order,"North Indian, Chinese, Arabian, Mughlai, Fast Food, Beverages, Shake",3.5,₹250 for one
81,Call Me Chow,https://www.zomato.com/bangalore/call-me-chow-kalyan-nagar-bangalore/order,"Chinese, Japanese, Thai, Indonesian, Asian",4.2,₹250 for one
82,The Punjabi Rasoi,https://www.zomato.com/bangalore/the-punjabi-rasoi-brookefield-bangalore/order,"North Indian, Chinese, Mughlai",4.1,₹200 for one
83,Barbeque Nation,https://www.zomato.com/bangalore/barbeque-nation-ulsoor-bangalore/order,"Street Food, Mughlai, Biryani, North Indian, Desserts, Beverages, Bar Food",3.9,₹200 for one
84,Chulha Chauki Da Dhaba,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-marathahalli-bangalore/order,"North Indian, Chinese, Kebab, Mughlai, Biryani, Desserts, Beverages",4.2,₹200 for one
85,The Belgian Waffle Co.,https://www.zomato.com/bangalore/the-belgian-waffle-co-koramangala-7th-block-bangalore/order,"Waffle, Pancake, Desserts, Beverages, Ice Cream",4.3,₹200 for one
86,Baskin Robbins,https://www.zomato.com/bangalore/baskin-robbins-airport-road/order,"Ice Cream, Desserts",4.1,₹200 for one
87,Great Indian Khichdi by EatFit,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-basavanagudi-bangalore/order,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages",3.7,₹200 for one
88,Anjappar,https://www.zomato.com/bangalore/anjappar-brigade-road-bangalore/order,"South Indian, Chettinad, Biryani, Seafood, Chinese, North Indian, Desserts, Beverages",4.0,₹200 for one
89,Glen's Bakehouse,https://www.zomato.com/bangalore/glens-bakehouse-koramangala-6th-block-bangalore/order,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",4.3,₹200 for one
90,New Udupi Garden,https://www.zomato.com/bangalore/new-udupi-garden-airport-road-bangalore/order,"South Indian, North Indian, Beverages, Chinese",3.7,₹200 for one
91,LunchBox - Meals and Thalis,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-thippasandra-bangalore/order,North Indian,3.8,₹200 for one
92,Biryani Blues,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order,"Biryani, Kebab, Hyderabadi",4.1,₹200 for one
93,Theobroma,https://www.zomato.com/bangalore/theobroma-frazer-town-bangalore/order,"Bakery, Desserts, Beverages",4.3,₹200 for one
94,Aroma's Hyderabad House,https://www.zomato.com/bangalore/aromas-hyderabad-house-marathahalli-bangalore/order,"Biryani, Mughlai, North Indian, Chinese, Kebab, Beverages",3.8,₹300 for one
